Type;Location;Bedrooms;Parking;Suites;Area;Rent;Condo fee;City fee;Total Gross;Rent/Sqm;Total Gross/Sqm;House/Apart
Apartamento;Leme;3;1;1;175;8000.0;1380.0;0.0;9380.0;45.71;53.6;Apartment
Casa;Engenho Novo;2;0;0;70;1100.0;0.0;0.0;1100.0;15.71;15.71;House
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;75;2500.0;1250.0;681.0;4431.0;33.33;59.08;Others
Apartamento;Jacarepaguá;2;1;0;68;1100.0;540.0;0.0;1640.0;16.18;24.12;Apartment
Apartamento;Humaitá;2;1;0;64;2500.0;520.0;0.0;3020.0;39.06;47.19;Apartment
Conjunto Comercial/Sala;Centro;0;0;0;90;2800.0;1640.0;270.0;4710.0;31.11;52.33;Others
Apartamento;Copacabana;1;0;1;37;2500.0;447.0;20.0;2967.0;67.57;80.19;Apartment
Apartamento;Copacabana;4;2;2;240;10000.0;2000.0;700.0;12700.0;41.67;52.92;Apartment
Casa de Condomínio;Barra da Tijuca;4;3;2;188;6000.0;1022.0;0.0;7022.0;31.91;37.35;House
Apartamento;Barra da Tijuca;3;2;2;137;12500.0;1850.0;271.0;14621.0;91.24;106.72;Apartment
Apartamento;Barra da Tijuca;14;2;2;212;5000.0;1200.0;650.0;6850.0;23.58;32.31;Apartment
Apartamento;Irajá;2;1;0;65;1100.0;255.0;0.0;1355.0;16.92;20.85;Apartment
Apartamento;Barra da Tijuca;2;2;1;105;3000.0;1500.0;0.0;4500.0;28.57;42.86;Apartment
Conjunto Comercial/Sala;Centro;0;0;0;240;21000.0;3500.0;0.0;24500.0;87.5;102.08;Others
Loja/Salão;Andaraí;0;0;0;330;6000.0;0.0;17285.0;23285.0;18.18;70.56;Others
Apartamento;Vila Isabel;2;1;0;70;1100.0;550.0;0.0;1650.0;15.71;23.57;Apartment
Apartamento;São Conrado;4;3;4;600;23000.0;16864.0;3910.0;43774.0;38.33;72.96;Apartment
Apartamento;Gávea;3;1;1;108;5000.0;1769.0;226.0;6995.0;46.3;64.77;Apartment
Apartamento;Recreio dos Bandeirantes;2;1;2;85;2300.0;1350.0;125.0;3775.0;27.06;44.41;Apartment
Apartamento;Catete;1;0;0;45;1600.0;500.0;55.0;2155.0;35.56;47.89;Apartment
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;32;800.0;870.0;0.0;1670.0;25.0;52.19;Others
Quitinete;Copacabana;1;0;0;15;1100.0;600.0;0.0;1700.0;73.33;113.33;Others
Conjunto Comercial/Sala;Centro;0;0;0;101;2000.0;4700.0;0.0;6700.0;19.8;66.34;Others
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;28;1600.0;912.0;0.0;2512.0;57.14;89.71;Others
Apartamento;Barra da Tijuca;3;2;3;160;7000.0;1087.0;455.0;8542.0;43.75;53.39;Apartment
Conjunto Comercial/Sala;Centro;0;0;0;150;4000.0;2000.0;0.0;6000.0;26.67;40.0;Others
Conjunto Comercial/Sala;Botafogo;0;0;0;457;50000.0;17600.0;23500.0;91100.0;109.41;199.34;Others
Casa de Vila;Quintino Bocaiúva;2;1;0;48;750.0;0.0;0.0;750.0;15.62;15.62;House
Apartamento;Lagoa;3;2;1;130;5000.0;1000.0;300.0;6300.0;38.46;48.46;Apartment
Apartamento;Freguesia (Jacarepaguá);3;2;1;100;2100.0;780.0;140.0;3020.0;21.0;30.2;Apartment
Conjunto Comercial/Sala;Centro;0;2;0;240;7000.0;3203.0;1300.0;11503.0;29.17;47.93;Others
Apartamento;Freguesia (Jacarepaguá);3;2;3;180;5500.0;1200.0;318.0;7018.0;30.56;38.99;Apartment
Apartamento;Copacabana;3;0;0;80;2500.0;800.0;157.0;3457.0;31.25;43.21;Apartment
Casa de Condomínio;Barra da Tijuca;3;0;2;367;6000.0;510.0;423.0;6933.0;16.35;18.89;House
Conjunto Comercial/Sala;Santo Cristo;0;16;0;1200;78000.0;23000.0;0.0;101000.0;65.0;84.17;Others
Apartamento;Recreio dos Bandeirantes;3;1;1;85;1900.0;450.0;112.0;2462.0;22.35;28.96;Apartment
Casa;Jardim Botânico;2;4;1;107;9500.0;0.0;1091.0;10591.0;88.79;98.98;House
Conjunto Comercial/Sala;Botafogo;0;15;0;700;59500.0;21994.0;5586.0;87080.0;85.0;124.4;Others
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;10;6213.0;0.0;0.0;6213.0;621.3;621.3;Others
Apartamento;Barra da Tijuca;5;4;3;171;9000.0;2000.0;3500.0;14500.0;52.63;84.8;Apartment
Apartamento;Centro;1;0;0;42;2200.0;619.0;202.0;3021.0;52.38;71.93;Apartment
Apartamento;Méier;2;1;0;62;1000.0;600.0;38.0;1638.0;16.13;26.42;Apartment
Quitinete;Leblon;1;0;0;25;1950.0;360.0;58.0;2368.0;78.0;94.72;Others
Loja/Salão;Taquara;0;0;0;15;600.0;0.0;0.0;600.0;40.0;40.0;Others
Apartamento;Leblon;4;3;4;260;13500.0;3100.0;0.0;16600.0;51.92;63.85;Apartment
Casa;Recreio dos Bandeirantes;4;4;2;367;12000.0;0.0;653.0;12653.0;32.7;34.48;House
Conjunto Comercial/Sala;Centro;0;0;0;594;9000.0;0.0;727.0;9727.0;15.15;16.38;Others
Loja/Salão;Copacabana;0;0;0;310;30000.0;700.0;0.0;30700.0;96.77;99.03;Others
Conjunto Comercial/Sala;Centro;0;0;0;373;30000.0;6723.0;1492.0;38215.0;80.43;102.45;Others
Conjunto Comercial/Sala;Ipanema;0;5;0;200;25200.0;4680.0;0.0;29880.0;126.0;149.4;Others
Apartamento;Grajaú;2;0;0;65;1400.0;415.0;21.0;1836.0;21.54;28.25;Apartment
Apartamento;Lagoa;4;3;1;180;11000.0;2530.0;812.0;14342.0;61.11;79.68;Apartment
Apartamento;Copacabana;1;0;0;43;1800.0;639.0;76.0;2515.0;41.86;58.49;Apartment
Apartamento;Lagoa;2;1;1;80;2200.0;2600.0;420.0;5220.0;27.5;65.25;Apartment
Conjunto Comercial/Sala;Copacabana;0;0;0;25;1000.0;434.0;101.0;1535.0;40.0;61.4;Others
Apartamento;Flamengo;2;1;0;57;2800.0;832.0;98.0;3730.0;49.12;65.44;Apartment
Apartamento;Campo Grande;3;1;1;98;1800.0;950.0;0.0;2750.0;18.37;28.06;Apartment
Apartamento;Jardim Botânico;3;1;2;170;6000.0;860.0;540.0;7400.0;35.29;43.53;Apartment
Casa Comercial;Botafogo;3;0;0;280;13000.0;450.0;1387.0;14837.0;46.43;52.99;Others
Apartamento;Leblon;4;2;2;207;15500.0;6000.0;934.0;22434.0;74.88;108.38;Apartment
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;23;1000.0;680.0;0.0;1680.0;43.48;73.04;Others
Apartamento;Barra da Tijuca;4;4;4;518;38000.0;5004.0;1747.0;44751.0;73.36;86.39;Apartment
Galpão/Depósito/Armazém;Cordovil;0;0;0;850;8500.0;0.0;0.0;8500.0;10.0;10.0;Others
Apartamento;Ipanema;1;0;1;50;2400.0;897.0;26.0;3323.0;48.0;66.46;Apartment
Quitinete;Copacabana;1;0;0;35;1700.0;400.0;55.0;2155.0;48.57;61.57;Others
Loja/Salão;Catete;0;6;0;300;17500.0;310.0;14000.0;31810.0;58.33;106.03;Others
Apartamento;Recreio dos Bandeirantes;3;2;1;150;2500.0;1012.0;0.0;3512.0;16.67;23.41;Apartment
Loja/Salão;Barra da Tijuca;0;1;0;49;2000.0;780.0;0.0;2780.0;40.82;56.73;Others
Conjunto Comercial/Sala;Centro;0;3;0;151;11025.0;3430.0;0.0;14455.0;73.01;95.73;Others
Apartamento;Copacabana;2;0;0;65;2700.0;710.0;130.0;3540.0;41.54;54.46;Apartment
Apartamento;Recreio dos Bandeirantes;4;3;2;300;4500.0;1500.0;580.0;6580.0;15.0;21.93;Apartment
Apartamento;Recreio dos Bandeirantes;2;2;1;115;1900.0;661.0;0.0;2561.0;16.52;22.27;Apartment
Casa de Vila;Jacarepaguá;3;1;0;100;2000.0;100.0;0.0;2100.0;20.0;21.0;House
Conjunto Comercial/Sala;Barra da Tijuca;0;7;0;300;15000.0;9360.0;0.0;24360.0;50.0;81.2;Others
Apartamento;Recreio dos Bandeirantes;3;3;1;110;1500.0;873.0;0.0;2373.0;13.64;21.57;Apartment
Casa;Botafogo;12;5;0;500;18000.0;0.0;1800.0;19800.0;36.0;39.6;House
Conjunto Comercial/Sala;Ipanema;0;0;0;45;5000.0;2200.0;243.0;7443.0;111.11;165.4;Others
Apartamento;Barra da Tijuca;4;3;4;304;13000.0;3800.0;1350.0;18150.0;42.76;59.7;Apartment
Loja/Salão;Freguesia (Jacarepaguá);0;0;0;197;8000.0;0.0;690.0;8690.0;40.61;44.11;Others
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;28;900.0;560.0;185.0;1645.0;32.14;58.75;Others
Casa de Condomínio;Barra da Tijuca;4;2;4;280;8500.0;750.0;620.0;9870.0;30.36;35.25;House
Prédio Inteiro;Barra da Tijuca;0;80;0;5500;480000.0;0.0;0.0;480000.0;87.27;87.27;Others
Apartamento;Tijuca;3;1;0;88;2300.0;790.0;885.0;3975.0;26.14;45.17;Apartment
Apartamento;Ipanema;3;1;1;145;7200.0;2900.0;500.0;10600.0;49.66;73.1;Apartment
Casa;Catete;10;0;10;300;15000.0;0.0;220.0;15220.0;50.0;50.73;House
Apartamento;Urca;1;0;0;53;2800.0;770.0;0.0;3570.0;52.83;67.36;Apartment
Apartamento;Ipanema;3;1;1;116;5000.0;1600.0;316.0;6916.0;43.1;59.62;Apartment
Apartamento;Tijuca;3;1;0;116;2000.0;790.0;194.0;2984.0;17.24;25.72;Apartment
Apartamento;Vila Isabel;3;0;0;82;1200.0;664.0;86.0;1950.0;14.63;23.78;Apartment
Quitinete;Glória;1;0;1;26;850.0;321.0;29.0;1200.0;32.69;46.15;Others
Apartamento;Barra da Tijuca;3;2;1;130;4800.0;1700.0;433.0;6933.0;36.92;53.33;Apartment
Apartamento;Freguesia (Jacarepaguá);3;1;1;90;1700.0;595.0;0.0;2295.0;18.89;25.5;Apartment
Apartamento;Flamengo;2;1;0;68;2000.0;536.0;148.0;2684.0;29.41;39.47;Apartment
Apartamento;Copacabana;1;0;0;60;2800.0;620.0;128.0;3548.0;46.67;59.13;Apartment
Loja/Salão;Engenho de Dentro;0;0;0;56;2200.0;0.0;100.0;2300.0;39.29;41.07;Others
Apartamento;Taquara;2;1;0;53;1100.0;450.0;150.0;1700.0;20.75;32.08;Apartment
Apartamento;Penha;2;0;0;64;950.0;180.0;0.0;1130.0;14.84;17.66;Apartment
Apartamento;Jardim Botânico;3;1;1;130;6400.0;1500.0;0.0;7900.0;49.23;60.77;Apartment
Loja/Salão;Barra da Tijuca;0;0;0;140;7200.0;315.0;1550.0;9065.0;51.43;64.75;Others
Apartamento;Leblon;2;1;0;90;3500.0;1300.0;200.0;5000.0;38.89;55.56;Apartment
Apartamento;Leblon;4;2;4;200;8500.0;2710.0;945.0;12155.0;42.5;60.78;Apartment
Conjunto Comercial/Sala;Centro;0;0;0;208;5000.0;2670.0;530.0;8200.0;24.04;39.42;Others
Apartamento;Tijuca;1;1;1;84;2000.0;718.0;120.0;2838.0;23.81;33.79;Apartment
Galpão/Depósito/Armazém;Vigário Geral;0;0;0;2000;30000.0;0.0;0.0;30000.0;15.0;15.0;Others
Quitinete;Gardênia Azul;1;0;0;20;485.0;0.0;0.0;485.0;24.25;24.25;Others
Apartamento;Flamengo;1;0;0;30;1490.0;315.0;55.0;1860.0;49.67;62.0;Apartment
Casa;São Conrado;4;0;4;1200;25000.0;0.0;0.0;25000.0;20.83;20.83;House
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;1;0;21;700.0;350.0;0.0;1050.0;33.33;50.0;Others
