Type;Location;Bedrooms;Parking;Suites;Area;Rent;Condo fee;City fee;Total Gross;Rent/Sqm;Total Gross/Sqm;House/Apart
Apartamento;Tijuca;2;0;0;67;1600.0;566.0;51.0;2217.0;23.88;33.09;Apartment
Apartamento;Flamengo;3;0;3;300;6500.0;1450.0;300.0;8250.0;21.67;27.5;Apartment
Apartamento;Jacarepaguá;3;1;1;85;2200.0;600.0;60.0;2860.0;25.88;33.65;Apartment
Apartamento;Barra da Tijuca;2;1;0;80;2300.0;980.0;172.0;3452.0;28.75;43.15;Apartment
Flat;Copacabana;2;1;2;80;3500.0;1800.0;490.0;5790.0;43.75;72.38;Others
Conjunto Comercial/Sala;Centro;0;15;0;3918;293850.0;66606.0;13517.0;373973.0;75.0;95.45;Others
Apartamento;Recreio dos Bandeirantes;4;4;1;400;5000.0;800.0;3500.0;9300.0;12.5;23.25;Apartment
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;36;1300.0;1346.0;0.0;2646.0;36.11;73.5;Others
Loja/Salão;Campo Grande;0;1;0;50;3500.0;0.0;0.0;3500.0;70.0;70.0;Others
Quitinete;Ipanema;1;0;0;30;1500.0;641.0;76.0;2217.0;50.0;73.9;Others
Apartamento;Ipanema;5;4;4;354;25000.0;4436.0;2473.0;31909.0;70.62;90.14;Apartment
Conjunto Comercial/Sala;Centro;0;0;0;530;24000.0;2357.0;360.0;26717.0;45.28;50.41;Others
Apartamento;Laranjeiras;3;1;1;147;5300.0;1100.0;1976.0;8376.0;36.05;56.98;Apartment
Apartamento;Botafogo;3;0;0;85;2500.0;304.0;0.0;2804.0;29.41;32.99;Apartment
Apartamento;Barra da Tijuca;4;3;2;420;5900.0;3400.0;19000.0;28300.0;14.05;67.38;Apartment
Apartamento;Vila Isabel;2;2;0;145;2500.0;1335.0;199.0;4034.0;17.24;27.82;Apartment
Conjunto Comercial/Sala;Centro;0;0;0;33;750.0;880.0;110.0;1740.0;22.73;52.73;Others
Apartamento;Ipanema;4;1;1;220;12000.0;2300.0;1800.0;16100.0;54.55;73.18;Apartment
Galpão/Depósito/Armazém;Anil;0;0;0;800;25000.0;0.0;1500.0;26500.0;31.25;33.12;Others
Casa;Rio Comprido;6;1;0;380;2000.0;0.0;320.0;2320.0;5.26;6.11;House
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;35;1200.0;650.0;0.0;1850.0;34.29;52.86;Others
Loja/Salão;Botafogo;0;0;0;585;60000.0;400.0;5000.0;65400.0;102.56;111.79;Others
Apartamento;Irajá;3;0;0;73;900.0;270.0;0.0;1170.0;12.33;16.03;Apartment
Apartamento;Tijuca;2;1;0;160;2500.0;1150.0;0.0;3650.0;15.62;22.81;Apartment
Apartamento;Bangu;1;0;0;50;750.0;0.0;100.0;850.0;15.0;17.0;Apartment
Apartamento;Botafogo;2;1;2;85;4650.0;1300.0;200.0;6150.0;54.71;72.35;Apartment
Conjunto Comercial/Sala;Centro;0;0;0;125;7000.0;1220.0;2548.0;10768.0;56.0;86.14;Others
Conjunto Comercial/Sala;Centro;0;0;0;32;500.0;358.0;0.0;858.0;15.62;26.81;Others
Apartamento;Ipanema;4;1;2;200;10000.0;2800.0;745.0;13545.0;50.0;67.72;Apartment
Apartamento;Taquara;2;1;0;70;1000.0;0.0;13.0;1013.0;14.29;14.47;Apartment
Conjunto Comercial/Sala;Jardim Botânico;0;1;0;28;1950.0;700.0;0.0;2650.0;69.64;94.64;Others
Conjunto Comercial/Sala;Centro;0;0;0;43;1100.0;479.0;170.0;1749.0;25.58;40.67;Others
Conjunto Comercial/Sala;Vila Valqueire;0;0;0;35;1000.0;350.0;0.0;1350.0;28.57;38.57;Others
Apartamento;Vila Isabel;3;0;1;199;3360.0;450.0;370.0;4180.0;16.88;21.01;Apartment
Conjunto Comercial/Sala;Centro;0;1;0;482;31309.0;14942.0;1628.0;47879.0;64.96;99.33;Others
Conjunto Comercial/Sala;Centro;0;0;0;16;400.0;290.0;0.0;690.0;25.0;43.12;Others
Apartamento;Ipanema;4;2;2;156;18000.0;3300.0;581.0;21881.0;115.38;140.26;Apartment
Apartamento;Flamengo;3;1;0;250;5000.0;1550.0;50.0;6600.0;20.0;26.4;Apartment
Apartamento;Recreio dos Bandeirantes;3;2;1;135;3500.0;1100.0;0.0;4600.0;25.93;34.07;Apartment
Apartamento;Ipanema;2;0;0;80;3200.0;630.0;120.0;3950.0;40.0;49.38;Apartment
Galpão/Depósito/Armazém;Olaria;0;4;0;1200;12000.0;0.0;2276.0;14276.0;10.0;11.9;Others
Apartamento;Lagoa;4;2;1;170;4000.0;1900.0;370.0;6270.0;23.53;36.88;Apartment
Apartamento;Botafogo;3;2;1;130;15000.0;1150.0;306.0;16456.0;115.38;126.58;Apartment
Apartamento;Lagoa;3;1;1;116;4500.0;1464.0;0.0;5964.0;38.79;51.41;Apartment
Prédio Inteiro;São Cristóvão;0;12;0;2351;25000.0;0.0;3200.0;28200.0;10.63;11.99;Others
Conjunto Comercial/Sala;Jardim Botânico;0;1;0;40;3100.0;1400.0;0.0;4500.0;77.5;112.5;Others
Quitinete;Flamengo;1;0;0;16;1100.0;344.0;25.0;1469.0;68.75;91.81;Others
Apartamento;Jardim América;1;0;0;60;600.0;0.0;0.0;600.0;10.0;10.0;Apartment
Apartamento;Copacabana;3;1;1;130;3200.0;1577.0;225.0;5002.0;24.62;38.48;Apartment
Apartamento;Copacabana;1;0;1;37;1500.0;1670.0;0.0;3170.0;40.54;85.68;Apartment
Conjunto Comercial/Sala;Centro;0;0;0;450;7500.0;4275.0;0.0;11775.0;16.67;26.17;Others
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;30;500.0;595.0;0.0;1095.0;16.67;36.5;Others
